1,숙주 품은 치킨 덮밥,볶기,밥,,445,70,26,7,245,가슴살,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00001_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00001_1.png,"밥:밥 210g(1공기)
다시마육수:무 30g(3×3×2cm), 다시마 5g(3×2cm), 가쓰오부시 약간, 물 500ml(2½컵)
숙주 품은 치킨
닭가슴살 80g(1/2개), 숙주 80g(1/5봉지), 표고버섯 10g(1장),팽이버섯 10g(1/6봉지), 양파 20g(1/6개), 달걀 25g(1/2개), 저염간장 5g(1작은술), 맛술 5g(1작은술), 쪽파 약간, 참깨 약간","1. 다시마를 물에 30분 정도 담가 우린 물에 무를 함께 넣고 끓여준다.
물이 끓기 시작하면 가쓰오부시를 넣어 3분 정도 우려낸 후 체에 거
른다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00001_1.png,"2. 닭고기는 한입 크기로 썰어 달군 프라이팬에 넣고 닭고기가 하얗게
변하면 2~3분 더 노릇하게 굽는다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00001_2.png,"3. 양파와 표고버섯은 채 썬다. 마른 표고버섯일 경우에는 미지근한 물
에 5~10분 정도 불려 사용한다.",,"4. 구운 닭고기(2)에 끓인 육수(1), 채썬 양파와 표고버섯(3) 팽이버섯,
저염간장, 맛술을 넣고 끓여준다.",,5. 닭고기가 익으면 숙주를 넣어 끓이고 마지막에 달걀을 풀어 넣어 익힌다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00001_5.png,6. 그릇에 밥을 담고 준비된 재료를 담은 후 쪽파를 송송 썰어 올리고 참깨를 뿌린다.,,,,,,,,,,,,,,,,,,,,
2,소고기를 품은 키위 볶음밥,볶기,밥,,405,76,12,6,69,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00002_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00002_1.png,"밥
밥 210g(1공기)
소고기를 품은 키위
소고기 30g, 키위 40g(1/2개), 양파 30g(1/4개),
노랑 파프리카 15g(1/8개), 빨강 파프리카 15g(1/8개),당근 20g(5×4×1cm), 마늘 5g(1쪽), 올리브유 10g(2작은술), 후추 약간, 설탕 약간, 참깨 약간","1. 키위는 껍질을 벗겨 잘게 썰고, 노랑 파프리카와 빨강 파프리카는 씨를 빼고 잘게 썬다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00002_1.png,"2. 당근과 양파는 잘게 썰고, 마늘은 편으로 썬다",,3. 소고기는 곱게 다진다.,,"4. 프라이팬을 달구어 올리브유를 두르고 양파를 넣어 투명하게 볶다가 마늘, 소고기와 당근을 넣어 볶는다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00002_4.png,"5. 밥을 잘 섞어가며 볶다가 키위와 파프리카도 함께 넣고 볶은 후 후추, 설탕, 참깨를 넣어 맛을 낸다.",,6. 그릇에 담아낸다.b,,,,,,,,,,,,,,,,,,,,
3,아삭한 숙주로 볶아 더 건강한 오리 볶음밥,볶기,밥,,405,60,14,12,139,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00003_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00003_1.png,"잡곡밥
흰쌀 40g, 현미쌀 20g, 현미찹쌀 20g
숙주오리볶음:오리고기 40g, 숙주나물 100g(1/4봉지), 양파 10g(1/10개), 홍피망 10g(1/8개),청피망 10g(1/8개), 마늘 3g(1/2쪽), 카놀라유 10g(2작은술), 소금 약간, 쪽파 약간, 로즈마리 약간
곁들임
치커리 3g, 새싹채소 12g","1. 흰쌀, 현미쌀, 현미찹쌀을 깨끗하게 씻어 건져 물기를 뺀 후 물은 동량 으로 맞춰 고슬고슬한 밥을 짓는다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00003_1.png,"2. 양파, 피망, 마늘은 채썰고 쪽파는 송송 썰고, 로즈마리는 곱게 다진다.a",,3. 오리고기는 곱게 다진다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00003_3.png,4. 달군 팬에 카놀라유를 넣고 숙주를 센 불에서 1~2분간 아삭하게 볶는다.,,"5. 달군 팬에 오리고기를 볶은 다음 양파, 피망, 마늘, 로즈마리를 넣고 볶는다.",,"6. 볶음 팬에 준비된 밥과 볶은 오리 재료(5)와 볶은 숙주, 쪽파, 소금을 넣고 골고루 섞으면서 볶는다.c",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00003_6.png,7. 준비된 접시에 오리볶음밥을 담고 잎채소를 곁들여 담는다.,,,,,,,,,,,,,,,,,,
4,수제 저염 간장으로 맛을 낸 떡갈비와 오색견과류 영양밥,굽기,밥,,485,55,26,17,65,갈빗살,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00004_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00004_1.png,"영양밥
찹쌀 60g, 은행 20g(8알), 잣 5g(5알), 호두 10g(1알), 생땅콩 10g(6알), 밤 20g(2개)
떡갈비
쇠갈비살 150g
1차 양념 : 설탕 2g(1/3작은술), 꿀 2g(1/3작은술), 매실액 5g(1작은술),
참기름 5g(1작은술)
2차 양념 : 저염간장 5g(1작은술), 무염피스타치오 10g(4알), 다진 대파 10g(2작은술), 다진 마늘 5g(1작은술), 후추약간
저염간장
레드와인 5g(1작은술), 간장 5g(1작은술), 양파 10g(1/10개),
마른 홍고추 2g(1/2개), 마른 다시마 5g(3×2cm), 마늘 5g(1쪽), 생강 약간
곁들임
아스파라거스 20g(1개), 더덕 15g(1개), 무염피스타치오",1. 찹쌀은 깨끗하게 씻어 불리지 않고 물기를 뺀 후 물은 동량으로 맞추고 밤을 넣는다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00004_1.png,"2. 밥이 끓으면 잣, 생땅콩, 호두, 껍질을 제거한 은행을 넣은 후 뚜껑을 덮고 끓이다가 불을 줄여12~15분정도 뜸을 들인다.a",,3. 영양밥은 동글하게 빚어 모양을 낸다.,,"4. 레드와인과 간장을 섞고 양파, 생강, 마늘, 마른 다시마, 마른 홍고추를 함께 넣어 5분 동안 끓인 후 식혀 저염간장을 만든다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00004_4.png,5. 더덕은 껍질을 벗기고 방망이를 이용해 편 후 꿀에 재워 둔다.,,6. 아스파라거스는 밑둥을 잘라 질긴 부분을 제거하고 올리브유에 살짝 볶는다.,,7. 갈비살을 칼로 곱게 다지고 떡갈비 1차 양념으로 20분간 재워둔다.,,8. 재워둔 갈비살에 2차 양념을 고루 섞어 찰기가 생기도록 치대어 둥글납작 하게 빚어 준다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00004_8.png,9. 달궈진 팬에 기름을 두르고 빚어 놓은 떡갈비살을 센불로 익히다가 고기 윗면에 고기즙이 올라오면 뒤집어서 약한 불에 떡갈비를 굽는다.d,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00004_9.png,"10. 영양밥과 떡갈비를 접시 에 담고 다진 무염 피스타치오, 더덕, 아스파라거스를 올려 장식한다.",,,,11. 기호에 따라 저염간장을 조금씩 찍어 먹는다.,,,,,,,,
5,된장 크림 소스를 곁들인 잡곡 오므라이스,볶기,밥,,640,58,30,32,264,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00005_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00005_1.png,"잡곡복음밥
찹쌀 35g, 보리 20g, 율무 20g, 은행 5g(2알), 팥 10g(2작은술), 대추 5g(2개), 호박 20g(2cm), 부추 10g, 홍피망 10g(1/8개), 청피망 10g(1/8개), 양파 20g(1/6개), 마늘 5g(1쪽),
오므라이스
달걀 100g(2개), 식용유 약간, 전분 약간
된장크림 소스
저염일식된장 10g(2작은술), 마른표고버섯 10g(1개), 양파20g(1/6개),
마늘 10g(2쪽), 생크림 50g(1/4컵), 물엿 15g(1큰술), 로즈마리 5g
곁들임
새싹채소 5g, 무순 2g, 상추 4g(1장)",1. 잡곡을 깨끗하게 씻고 물에 30분 정도 불린 후 물은 동량으로 맞추어 고슬고슬한 밥을 짓는다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00005_1.png,"2. 호박, 청피망, 홍피망, 양파를 사방 0.5cm 정도의 크기로 다지고, 부추는 송송 썰고, 마늘은 곱게 다진다.",,"3. 달궈진 프라이팬에 피망, 호박, 양파, 부추, 마늘을 볶다가, (1)의 잡곡밥을 넣고 볶는다.a",,"4. 저염 일식 된장에 마른 표고버섯, 양파, 마늘을 믹서에 넣고 갈아서 체에 걸러 된장소스를 준비한다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00005_4.png,"5. 달궈진 프라이팬에 식용유를 두르고 마늘을 넣어 향을 내고, 생크림과 물엿, 다진 로즈마리와 만들어 놓은 된장소스(4)를 넣고 잘 섞어 된장크림 소스를 만든다.c",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00005_5.png,6. 잘 푼 달걀에 전분을 섞은후 달구어진 프라이팬에 달걀을 부어 얇게 돌린 후 반 정도 익으면 볶은 밥을얹어 달걀을 덮는다.d,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00005_6.png,7. 채소와 된장크림 소스를 곁들인다.,,,,,,,,,,,,,,,,,,
6,산나물밥과 유부견과류 양념장,끓이기,밥,,425,84,9,6,485,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00007_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00007_1.png,"잡곡산나물밥
찹쌀 70g, 현미찹쌀 20g, 참나물 15g(7줄기), 취나물 20g(8줄기), 불린 고사리 10g(5cm, 6줄기), 당근 5g(5×1cm), 대추 5g(2개)
유부견과류 양념장
유부 5g(2장), 호두 10g(1알), 아몬드 10g(4알), 쪽파 5g(1/2개), 설탕 2g(1/3작은술), 간장 3g(2/3작은술), 참기름 3g(2/3작은술)",1. 취나물과 참나물은 손질하여 끓는 소금물에 따로 데쳐 찬물에 헹구어 물기를 짠다.,,"2. 대추는 씨를 발라내어 채를 썰고, 당근도 채를 썬다.",,"3. 깨끗하게 씻어 불린 찹쌀에 데친나물, 채 썬 당근, 대추를 넣어 자작하게 물을 부어 밥을 짓는다. 밥물은 나물에서 수분이 나오므로 밥을 지을 때 보다 적게 넣는다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00007_3.png,"4. 호두, 아몬드는 잘게 다지고, 유부는 잘게 썰고, 쪽파는 송송 썰어 참기름, 간장과 설탕을 넣어 양념장을 만든다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00007_4.png,5. 완성 그릇에 나물밥을 고루 섞어 담고 양념장을 곁들인다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00007_5.png,,,,,,,,,,,,,,,,,,,,,
7,오색지라시 스시,끓이기,밥,,700,138,17,9,75,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00009_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00009_1.png,"초밥
밥 210g(1공기)
배합초
식초 20g(1⅓큰술), 설탕 10g(2작은술), 소금 약간
오색지라시
달걀노른자 40g(달걀2개), 표고버섯 10g(1장), 새송이버섯 20g(3개), 새우 25g(4마리), 홍피망 10g(1/8개), 청피망 10g(1/8개), 양파 5g(5×1cm), 대두유 20g(1⅓큰술), 참기름 10g(2작은술), 식용유 약간",1. 배합초는 중불에서 설탕이 녹을 때까지 저어가면서 녹인다.,,2. 뜨거운 밥에 배합초를 넣어서 밥알이 으깨지지 않게 고루 저어가면서 밥을 체온 정도로 식힌다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00009_2.png,3. 표고버섯은 기둥을 떼고 끓는 물에 데친 후 찬물에 헹궈 물기를 없애고 얇게 썰어 달궈진 팬에 참기름을 두르고 볶는다.,,4. 새송이버섯은 세로로 얇게 썰어 달궈진 팬에 참기름을 두르고 볶는다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00009_4.png,5. 달걀노른자를 고루 풀어 약한 불에 지단을 부친 후 채썬다.,,6. 청피망과 홍피망은 채를 썬후 달궈진 팬에 기름을 두르고 볶는다.,,7. 양파는 채를 썰어 찬물에 담가 매운맛을 제거한 뒤 달궈진 팬에 기름을 두르고 살짝 볶는다.,,8. 새우는 껍질을 벗기고 등쪽 2~3마디에 있는 내장을 꼬챙이로 꺼내고 물에 헹궈 물기를 뺀 다음 기름을 두르고 볶는다.,,"9. 초밥 위에 청피망, 홍피망, 양파, 달걀노른자, 새송이버섯, 표고버섯, 새우를 가지런히 놓는다.c",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00009_9.png,,,,,,,,,,,,,
8,저염 간장을 이용한 닭개장 비빔밥,끓이기,밥,,570,71,27,20,224,가슴살,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00011_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00011_1.png,"흑미밥
쌀 90g, 검은 쌀 10g
닭가슴살 삶기
닭가슴살 40g(1/3개), 월계수 잎 2장, 후추 약간
나물준비
숙주 20g(1/20봉지), 토란대 20g(5cm, 5개), 고사리 20g(10줄기)
고명
달걀 50g(1개), 대파 10g(5cm), 들기름 5g(1작은술), 실고추약간, 소금약간
들깨 소스
들깨가루 15g(1큰술), 고추기름 10g(2작은술), 꿀 8g(1⅔작은술), 저염간장 8g(1⅔작은술)",1. 쌀은 30분 정도 불린 후 물을 1:1로 하여 밥을 짓는다.,,2. 숙주는 끓는 소금물에 넣어 숨이 죽으면 찬물에 헹구어 물기를 뺀다.,,3. 고사리는 상태에 따라 2~5시간정도 불린 후 30분 정도 삶아 찬물에 헹구어 물기를 짠다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00011_3.png,4. 말린 토란대는 미지근한 물에 하루정도 담갔다가 끓는 물에 넣어 끓이다가 물러지면 꺼내어 미지근한 물에 1~2일 담구어 아린 맛을 뺀다.,,"5. 숙주, 토란대, 고사리는 따로 들기름에 살짝 볶아 준다.",,6. 대파는 파채를 썰은 후 물에 담가매운맛을 제거한다.,,7. 달걀은 지단을 부치고 채를 썬다.,,8. 닭가슴살은 손질을 하여 냄비에 잠길 정도로 물을 붓고 누린내 제거를 위해 월계수잎과 후추를 넣고 15~20분 정도 삶아 식혀서 고기의 결대로 찢는다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00011_8.png,"9. 들깨가루, 고추기름, 꿀, 저염간장을 함께 섞어 소스를 만든다.c",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00011_9.png,10. 그릇에 밥을 담고 준비된 고명을 올린 후 소스를 곁들인다.,,,,,,,,,,,,
9,취나물 비빔밥 & 청국장 쌈장,끓이기,밥,,415,73,10,9,188,다짐육,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00012_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00012_1.png,"취나물밥
밥 210g(1공기), 다진 쇠고기 20g(1⅓큰술), 취나물 20g(8줄기), 다진 양파 5g(1작은술), 다진마늘 5g(1작은술), 간장 약간, 매실즙 3g(2/3작은술), 참기름 2g(1/3작은술), 참깨 5g(1작은술), 소금 약간
청국장쌈장
청국장 20g(1⅓큰술), 된장 2g(1/3작은술), 콩가루 5g(1작은술), 멸치가루 2g(1/3작은술), 쌀뜨물 30g(2큰술), 다진 양파 7g(1/2큰술), 다진 호박 7g(1/2큰술), 다진 당근 7g(1/2큰술), 다진 표고버섯 7g(1/2큰술), 다진 호두 5g(1작은술), 참기름 2g(1/3작은술)",1. 끓는 소금물에 취나물을 데쳐 찬물에 헹구어 물기를 짜고 1.5cm 정도로 썰어 참기름과 참깨에 무친다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00012_1.png,"2. 쇠고기를 곱게 다지고 다진 양파와 마늘, 간장, 매실즙을 넣고 양념하여 달궈진 프라이팬에 볶는다.",,3. 준비된 밥에 (1)과 (2)를 넣고 잘 섞는다.,,"4. 다진 표고버섯, 양파, 호박, 당근, 호두를 달군 프라이팬에 참기름을 넣고 모두 볶는다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00012_4.png,"5. 청국장, 된장을 쌀뜨물에 잘 풀고, 콩가루, 멸치가루와 볶아 놓은 재료(4)를 넣고 한소끔 끓인다.",,6. 취나물밥과 청국장 쌈장을 같이 곁들인다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00012_6.png,,,,,,,,,,,,,,,,,,,
10,오색영양밥 롤,끓이기,밥,,690,103,25,20,170,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00015_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00015_1.png,"영양밥
찹쌀 100g, 흑미30g, 바지락 50g(16개), 강낭콩 15g(1큰술), 완두콩 15g(1큰술), 메주콩 15g(1큰술), 은행 10g(4알)
오색준비
달걀 100g(2개), 애호박 60g(1/3개), 가지 40g(1/4개), 당근 40g(1/4개), 표고버섯 30g(2장), 대추 10g(5개)
호두 소스
다진 호두 10g(2작은술), 잣가루 2g(1/3작은술), 참기름 20g(1⅓큰술)
곁들임
치자가루 5g(1작은술), 연근 6g(1cm), 식초 5g(1작은술), 카놀라유10g(2작은술), 새싹채소 6g","1. 바지락은 소금물에 20~30분정도 담근 후, 2~3번 헹구어 해감하고 바지락이 살짝 벌어질 때까지 삶는다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00015_1.png,2. 불린 찹쌀과 흑미를 섞고 바지락 삶은 물을 넣어 1:1로 고슬고슬한 밥을 한다.,,"3. 강낭콩, 메주콩, 완두콩은 콩의 두배의 물로 불린 후 콩과 물을 1:2.5로 넣고 20~25분 정도 무르게 삶아준다.",,"4. 애호박, 당근, 가지, 표고버섯은 길이로 얇게 썬다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00015_4.png,"5. 달걀을 풀어 약한 불에 지단을 부치고 애호박, 가지, 당근과 표고버섯은 볶는다.",,6. 대추는 씨를 빼고 돌려 깍은 후 돌돌 말아 준비한다.,,"7. 김발 위에 지단을 놓고 애호박, 당근, 가지를 차례대로 올리고, 밥과 강남콩, 메주콩, 완두콩을 올리고 대추말이와 표고버섯을 넣어 돌돌 말아준다.c",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00015_7.png,"8. 다진 호두, 잣가루, 참기름을 섞어 고소한 소스를 만든다.",,9. 연근은 얇게 썰어 끓는 물에 식초를 넣고 데쳐서 치자로 물을 들이 고 물기를 빼 준 후에 달궈진 팬에 기름을 두르고 바삭하게 구워준다.,,10. 롤을 한입 크기로 썰어 접시에 담고 연근과 새싹채소를 올리고 호두 소스를 곁들인다.,,,,,,,,,,,,
